Scope,LegoSet,GizmoType,GizmoName,References,Can Be Instanced?,In Complex Gizmo?
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_BLUE_NPC_ANIM,0,-,WATER_PLANTS_BLUE_ANIM_CMPLX
Level,Builder_Farmer,GizObstacle,WATER_PLANTS_BLUE_NPC_LOOP,0,-,WATER_PLANTS_BLUE_ANIM_CMPLX
Level,Builder_Farmer,GizObstacle,iWATER_PLANTS_VINE_BASE_ANIM,0,-,-
Level,Builder_Farmer,Blowup,LEAF_FALL_1_BL,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,Blowup,LEAF_FALL_2_BL,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,Blowup,LEAF_FALL_PURP1_BL,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,Blowup,LEAF_FALL_PURP2_BL,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,Blowup,LEAF_FALL_PURP3_BL,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,Blowup,LEAF_FALL_PINK1_BL,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,Blowup,blowup,0,-,-
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_BLUE_SW,0,-,WATER_PLANTS_BLUE_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_PLATF_1_SW,0,-,WATER_PLANTS_PLATF_1_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_PLATF_2_SW,0,-,WATER_PLANTS_PLATF_2_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_PLATF_3_SW,0,-,WATER_PLANTS_PLATF_3_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_VINE_BASE_SW,0,-,WATER_PLANTS_VINE_BASE_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_SUNF_1_SW,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_SUNF_2_SW,0,-,WATER_PLANTS_SUNF_2_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_SUNF_3_SW,0,-,WATER_PLANTS_SUNF_3_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_VINE_CLIMBER_SW,0,-,-
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_VINE_BASE_NPC_SW,0,-,WATER_PLANTS_VINE_NPC_CMPLX
Level,Builder_Farmer,GizSwitch,WATER_PLANTS_BLUE_NPC_SW,0,-,WATER_PLANTS_BLUE_ANIM_CMPLX
Level,Builder_Farmer,Pole,WATER_PLANTS_SUNF_1_POLE,0,-,WATER_PLANTS_SUNF_1_CMPLX
Level,Builder_Farmer,Pole,WATER_PLANTS_SUNF_2_POLE,0,-,WATER_PLANTS_SUNF_2_CMPLX
SET INSTANCABLE USAGE:,'Builder_Farmer',1/17 gizmos,(5.9 percent)
SET TOTAL USAGE:,'Builder_Farmer',1/86 gizmos,(1.2 percent)

Level,Builder_Super_Garage,GizSwitch,Switch_Garage,0,Yes,-
Level,Builder_Super_Garage,ComplexGizmo,SuperGarage_01_CMPLX,0,Yes,-
Level,Builder_Super_Garage,GizObstacle,GarageDoorFrame,0,Yes,-
Level,Builder_Super_Garage,GizObstacle,TriggerGarage,0,Yes,-
Level,Builder_Super_Garage,GizObstacle,Super_Garage_02_ANIM,0,Yes,-
Level,Builder_Super_Garage,GizObstacle,Super_Garage_01_ANIM,0,Yes,-
Level,Builder_Super_Garage,GizObstacle,SuperGarage_01_Open_OB,0,-,SuperGarage_01_CMPLX
Level,Builder_Super_Garage,GizObstacle,SuperGarage_01_Stay_OB,0,-,SuperGarage_01_CMPLX
Level,Builder_Super_Garage,GizObstacle,SuperGarage_01_Close_OB,0,-,SuperGarage_01_CMPLX
SET INSTANCABLE USAGE:,'Builder_Super_Garage',0/6 gizmos,(0.0 percent)
SET TOTAL USAGE:,'Builder_Super_Garage',0/9 gizmos,(0.0 percent)

Level,VFX_Gen,ComplexGizmo,Astro_hoop,0,Yes,-
Level,VFX_Gen,GizObstacle,flashbang,0,Yes,-
Level,VFX_Gen,GizObstacle,LaserCannon,0,Yes,-
Level,VFX_Gen,GizObstacle,Flare_Green,0,Yes,-
Level,VFX_Gen,GizObstacle,AirJet,0,Yes,-
Level,VFX_Gen,GizObstacle,SCR_VFX,0,Yes,-
Level,VFX_Gen,GizObstacle,BankSewer_Vent,0,Yes,-
Level,VFX_Gen,GizObstacle,BankSewer_Steam,0,Yes,-
Level,VFX_Gen,GizObstacle,SteamGrate01,0,Yes,-
Level,VFX_Gen,GizObstacle,Astro_Hoop_Open,0,-,Astro_hoop
Level,VFX_Gen,GizObstacle,Astro_hoop_Close,0,-,Astro_hoop
SET INSTANCABLE USAGE:,'VFX_Gen',0/9 gizmos,(0.0 percent)
SET TOTAL USAGE:,'VFX_Gen',0/11 gizmos,(0.0 percent)

Level,Builder_Parkour,GizSpellIt,spellit,0,Yes,-
Level,Builder_Parkour,GizSpellIt,Catapult_Buildit,0,Yes,-
Level,Builder_Parkour,GizSpellIt,WallKick_Buildit,0,Yes,-
Level,Builder_Parkour,GizSpellIt,HWallRunPad_Buildit,0,Yes,-
Level,Builder_Parkour,GizSpellIt,VWALLRUN_High_Build,0,Yes,-
Level,Builder_Parkour,GizObstacle,CeilingClimbSection_NoWall,0,Yes,-
Level,Builder_Parkour,GizObstacle,WallClimb_Section_NOWALL,0,Yes,-
Level,Builder_Parkour,GizObstacle,Lamppost_Parkour,1,Yes,-
Level,Builder_Parkour,GizObstacle,SKYDIVE_Haycart,0,Yes,-
Level,Builder_Parkour,GizObstacle,DIVEBOARD,0,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_08,0,Yes,-
Level,Builder_Parkour,GizObstacle,UphillRunStud_White,0,Yes,-
Level,Builder_Parkour,GizObstacle,UphillRunStud_Blue,0,Yes,-
Level,Builder_Parkour,GizObstacle,BrickGrabFreeJump,0,Yes,-
Level,Builder_Parkour,GizObstacle,Catapult_02,0,Yes,-
Level,Builder_Parkour,GizObstacle,BrickGrab_Overmax,0,Yes,-
Level,Builder_Parkour,GizObstacle,MEASURINGTOOL,0,Yes,-
Level,Builder_Parkour,GizObstacle,HWallRunPad,3,Yes,-
Level,Builder_Parkour,GizObstacle,Catapult,9,Yes,-
Level,Builder_Parkour,GizObstacle,BrickGrabTop,0,Yes,-
Level,Builder_Parkour,GizObstacle,BalanceBeam_02,1,Yes,-
Level,Builder_Parkour,GizObstacle,BalanceBeam_01,6,Yes,-
Level,Builder_Parkour,GizObstacle,WallClimbTop,1,Yes,-
Level,Builder_Parkour,GizObstacle,WallClimb_Section,10,Yes,-
Level,Builder_Parkour,GizObstacle,WallClimb_Bottom,2,Yes,-
Level,Builder_Parkour,GizObstacle,HWallRun_InnerCorner,1,Yes,-
Level,Builder_Parkour,GizObstacle,BarHop_02,0,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_06,2,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_05,0,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_04,4,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_03,0,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_02,0,Yes,-
Level,Builder_Parkour,GizObstacle,WallKick_01,2,Yes,-
Level,Builder_Parkour,GizObstacle,CeilingClimbStart,0,Yes,-
Level,Builder_Parkour,GizObstacle,CeilingClimbSection,12,Yes,-
Level,Builder_Parkour,GizObstacle,BrickGrab,30,Yes,-
Level,Builder_Parkour,GizObstacle,HWallrun_OuterCorner_03_Ob,1,Yes,-
Level,Builder_Parkour,GizObstacle,BarHop_01,8,Yes,-
Level,Builder_Parkour,GizObstacle,DrainPipe_04_Ob,0,Yes,-
Level,Builder_Parkour,GizObstacle,DrainPipe_05_Ob,0,Yes,-
Level,Builder_Parkour,GizObstacle,DrainPipe_06_Ob,9,Yes,-
Level,Builder_Parkour,GizObstacle,BALANCE8X1,0,Yes,-
Level,Builder_Parkour,GizObstacle,BALANCE6X1,0,Yes,-
Level,Builder_Parkour,GizObstacle,BALANCE4X1,0,Yes,-
Level,Builder_Parkour,GizObstacle,Balance1x2,0,Yes,-
Level,Builder_Parkour,GizObstacle,BALANCE2X2,0,Yes,-
Level,Builder_Parkour,GIZSIMPLEPROPOBJECT,SimpleProp,0,-,-
Level,Builder_Parkour,GizObstacle,DrainPipe_Base,0,-,-
Level,Builder_Parkour,GizObstacle,obstacle1,0,-,-
Level,Builder_Parkour,GizObstacle,iBrickGrab_Overmax,0,-,-
Level,Builder_Parkour,GizObstacle,iCatapult,0,-,-
Level,Builder_Parkour,GizSpellIt,iWallKick_Buildit,0,-,-
Level,Builder_Parkour,GizSpellIt,iCatapult_Buildit,0,-,-
Level,Builder_Parkour,Ledge,ledge,0,-,-
Level,Builder_Parkour,Ledge,ledge1,0,-,-
Level,Builder_Parkour,Ledge,ledge2,0,-,-
Level,Builder_Parkour,Ledge,ledge3,0,-,-
Level,Builder_Parkour,Ledge,ledge4,0,-,-
Level,Builder_Parkour,Ledge,ledge5,0,-,-
Level,Builder_Parkour,Ledge,ledge6,0,-,-
Level,Builder_Parkour,Ledge,ledge7,0,-,-
Level,Builder_Parkour,Ledge,ledge8,0,-,-
Level,Builder_Parkour,Ledge,ledge9,0,-,-
Level,Builder_Parkour,Ledge,ledge10,0,-,-
Level,Builder_Parkour,Ledge,ledge11,0,-,-
SET INSTANCABLE USAGE:,'Builder_Parkour',17/46 gizmos,(37.0 percent)
SET TOTAL USAGE:,'Builder_Parkour',17/65 gizmos,(26.2 percent)

Area,BuilderDefault,GizSwitch,ThrowSwitch_Green,0,Yes (via complex-gizmo),ThrowSwitch_Green_CMPLX
Area,BuilderDefault,GizSwitch,ThrowSwitch_Blue,0,Yes (via complex-gizmo),ThrowSwitch_Blue_CMPLX
Area,BuilderDefault,GizSwitch,ThrowSwitch_Red,0,Yes (via complex-gizmo),THROWSWITCH_RED_CMPLX
Area,BuilderDefault,GizSwitch,CATCH_CAT,0,Yes,-
Area,BuilderDefault,ComplexGizmo,scanneraudio_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,ScannerCrime_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,FoldingLadder,0,Yes,-
Area,BuilderDefault,ComplexGizmo,FoldingLadder_Temple,0,Yes,-
Area,BuilderDefault,ComplexGizmo,ThrowSwitch_Green_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,ThrowSwitch_Blue_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,THROWSWITCH_RED_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,DETECTIVE_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,CarFlap_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,ThrowSwitch_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,KEYPAD_USE_OFF_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,Stain_Switch_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,DYNAMITE_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,SUPERCARRY_PARKOUR_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,KEYPAD_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,AIR_JET_BLDIT_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,AIR_JET_ON_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,AIR_JET_OFF_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,AIR_JET_REVEAL_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,TRAMPOLINE_LRG_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,TRAMPOLINE_LRG_BLD_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,TRAMPOLINE_SML_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,TRAMPLOLINE_SML_BLD_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,DYNAMITE_EXPLOSION_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,DETECTIVE_FALSE_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,SUPERCARRY_BOX_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,TARGET_CMPLX,0,Yes,-
Area,BuilderDefault,ComplexGizmo,STREET_LIGHT_REPAIR_CMPLX,0,Yes,-
Area,BuilderDefault,GizSpellIt,Keypad_Buildit,0,Yes,-
Area,BuilderDefault,GizSpellIt,spellit1,0,Yes,-
Area,BuilderDefault,GizSpellIt,Pressure_Switch_Mid_BI,0,Yes,-
Area,BuilderDefault,GizSpellIt,Trampoline_small_Buildit,0,Yes (via complex-gizmo),TRAMPLOLINE_SML_BLD_CMPLX
Area,BuilderDefault,GizSpellIt,SPLATTER_TARGET_SPELLIT,0,Yes,-
Area,BuilderDefault,GizSpellIt,ASTRO_CRATE_BUILDIT,0,Yes,-
Area,BuilderDefault,GizSpellIt,AIR_JET_BLD_BLDIT,0,Yes (via complex-gizmo),AIR_JET_BLDIT_CMPLX
Area,BuilderDefault,Blowup,TARGET_BLUE_BL,0,Yes,-
Area,BuilderDefault,Blowup,TARGET_GREEN_BL,0,Yes,-
Area,BuilderDefault,Blowup,TARGET_PURPLE_BL,0,Yes,-
Area,BuilderDefault,Blowup,TARGET_ORANGE_BL,0,Yes,-
Area,BuilderDefault,Blowup,TARGET_YELLOW_BL,0,Yes,-
Area,BuilderDefault,Blowup,TARGET_DESTROY_BL,0,Yes (via complex-gizmo),TARGET_CMPLX
Area,BuilderDefault,GizObstacle,DETECTIVE_CMPLX_SEAGULLPRINT,0,Yes,-
Area,BuilderDefault,GizObstacle,scanneraudio,0,Yes (via complex-gizmo),scanneraudio_CMPLX
Area,BuilderDefault,GizObstacle,scannercrime,0,Yes (via complex-gizmo),ScannerCrime_CMPLX
Area,BuilderDefault,GizObstacle,scanner_zone,0,Yes,-
Area,BuilderDefault,GizObstacle,EXIT_ARROW_OB,0,Yes,-
Area,BuilderDefault,GizObstacle,Ladder_Stuggle_point,0,Yes,-
Area,BuilderDefault,GizObstacle,COP_HOTSPOT_OB,0,Yes,-
Area,BuilderDefault,GizObstacle,Floor_Switch_Mid,0,Yes,-
Area,BuilderDefault,GizObstacle,ON_LIGHT_OB,0,Yes,-
Area,BuilderDefault,GizObstacle,OFF_LIGHT_OB,0,Yes,-
Area,BuilderDefault,GizObstacle,LadderTop,0,Yes,-
Area,BuilderDefault,GizObstacle,KEY_POPOUT_ANIM,0,Yes,-
Area,BuilderDefault,GizObstacle,CAMERA_SHAKE_NULL,0,Yes,-
Area,BuilderDefault,GizObstacle,KEY_POPUP_ANIM,0,Yes,-
Area,BuilderDefault,GizObstacle,GOTO_MARKER_OB,0,Yes,-
Area,BuilderDefault,GizObstacle,DETECTIVE_CMPLX_DOGPRINT,0,Yes,-
Area,BuilderDefault,GizObstacle,Floor_Stain,0,Yes,-
Area,BuilderDefault,GizObstacle,FoldingLadderPulled,0,Yes (via complex-gizmo),FoldingLadder
Area,BuilderDefault,GizObstacle,LaserImpactFlare,0,Yes,-
Area,BuilderDefault,GizObstacle,Laser_Gate_Large,0,Yes,-
Area,BuilderDefault,GizObstacle,Laser_Cover,0,Yes,-
Area,BuilderDefault,GizObstacle,Grapple_Pull_Point,0,Yes,-
Area,BuilderDefault,GizObstacle,AIR_VORTEX_LOOP_ANIM,0,Yes (via complex-gizmo),AIR_JET_REVEAL_CMPLX
Area,BuilderDefault,GizObstacle,AIR_VORTEX_GROW_ANIM,0,Yes (via complex-gizmo),AIR_JET_REVEAL_CMPLX
Area,BuilderDefault,GizObstacle,SUPERCARRY_PARKOUR1_BOX_OB,0,Yes (via complex-gizmo),SUPERCARRY_PARKOUR_CMPLX
Area,BuilderDefault,GizObstacle,SUPERCARRRY_PARKOUR_BASE_OB,0,Yes (via complex-gizmo),SUPERCARRY_PARKOUR_CMPLX
Area,BuilderDefault,GizObstacle,Laser_Wall02,0,Yes,-
Area,BuilderDefault,GizObstacle,Laser_Wall01,0,Yes,-
Area,BuilderDefault,GizObstacle,Pressure_Switch_Mid,0,Yes,-
Area,BuilderDefault,GizObstacle,Trampoline_small_OB,1,Yes,-
Area,BuilderDefault,GizObstacle,DYNAMITE_POPUP_ANIM,0,Yes,-
Area,BuilderDefault,GizObstacle,TRAMPOLINE_POPOUT_ANIM,0,Yes,-
Area,BuilderDefault,GizObstacle,CrateOnPlatformOb,0,Yes,-
Area,BuilderDefault,GizObstacle,DETECTIVE_CMPLX_FOOTPRINT,0,Yes,-
Area,BuilderDefault,GizObstacle,KILLBOX_OB,0,Yes,-
Area,BuilderDefault,GizObstacle,PRESSURE_SWITCH_LG_OB,0,Yes (via complex-gizmo),LargePressureSwitch
Area,BuilderDefault,GizObstacle,TARGET_OB,0,Yes (via complex-gizmo),TARGET_CMPLX
